application_number,pto_adjustment,pto_delay,applicant_delay,patent_term_extension
08414240,0,1320,0,1320
08415393,0,829,829,0
08415769,0,0,0,0
08415658,0,1573,0,1573
08416924,0,0,0,0
08416413,0,1449,0,1449
08417017,0,0,0,0
08416393,0,0,0,0
08417537,0,0,0,0
08418772,0,1006,1006,0
08418797,0,0,0,0
08418930,0,1530,0,1530
08564078,0,0,0,0
08418847,0,1923,0,1923
08419219,0,969,0,969
08419229,0,0,0,0
08419241,0,0,0,0
08419837,0,395,395,0
08419882,0,121,0,121
08420306,0,0,0,0
08420720,0,0,0,0
08420796,0,1667,0,1667
08421286,0,0,0,0
08421690,0,999,0,999
08421810,0,66,0,66
08422381,0,1937,0,1937
08422612,0,1120,0,1120
08374520,0,2045,0,2045
08422582,0,0,0,0
08422627,0,0,0,0
08423515,0,0,0,0
08422849,0,1181,0,1181
08423168,0,0,0,0
08423211,0,1019,0,1019
08424156,0,2015,0,2015
08425256,0,1757,0,1757
08403844,0,0,0,0
08423963,0,1773,0,1773
08426458,0,0,0,0
08425682,0,1796,0,1796
08424223,0,1717,1717,0
08424631,0,0,0,0
08425022,0,788,788,0
08425558,0,0,0,0
08425735,0,0,0,0
08397141,0,1131,0,1131
08426131,0,0,0,0
08426318,0,0,0,0
08426552,0,0,0,0
08426630,0,0,0,0
08428922,0,0,0,0
08427447,0,1621,1621,0
08427534,0,0,0,0
08427606,0,199,0,199
08428822,0,0,0,0
08427837,0,0,0,0
08427909,0,0,0,0
08428973,0,0,0,0
08429053,0,1709,1709,0
08379576,0,1219,0,1219
08429767,0,0,0,0
08429954,0,1222,0,1222
08430943,0,1555,0,1555
08430311,0,576,0,576
08430632,0,1376,0,1376
08431727,0,0,0,0
08432285,0,1279,0,1279
08432483,0,1328,0,1328
08428256,0,1082,0,1082
08432717,0,0,0,0
08433218,0,1627,0,1627
08434336,0,1421,0,1421
09662717,0,0,0,0
08434457,0,1775,0,1775
08433008,0,1459,0,1459
08433123,0,0,0,0
