application_number,parent_application_number,parent_filing_date,continuation_type
09443095,PCT/EP98/03091,1998-05-26,NST
09403819,PCT/AU98/00277,1998-04-21,NST
09445261,PCT/IB98/01017,1998-07-01,NST
09445785,PCT/GB98/01723,1998-06-12,NST
09142963,PCT/IL97/00093,1997-03-13,NST
09445548,PCT/AT98/00142,1998-06-10,NST
09424365,PCT/EP98/03128,1998-05-27,NST
09445620,PCT/US98/12159,1998-06-09,NST
09142895,PCT/US97/19132,1997-10-21,NST
09142723,PCT/GB97/00610,1997-03-06,NST
09142182,PCT/CH97/00070,1997-02-24,NST
09445935,PCT/US98/13360,1998-06-26,NST
09445469,PCT/EP98/03970,1998-06-29,NST
09445866,PCT/GB99/01127,1999-04-13,NST
09446410,PCT/EP98/03618,1998-06-16,NST
09446210,PCT/EP99/03247,1999-05-07,NST
09446639,PCT/IL98/00291,1998-06-22,NST
09446791,PCT/US98/12821,1998-06-19,NST
09446470,PCT/DE99/01227,1999-04-23,NST
09142004,PCT/US98/14292,1998-07-11,NST
09446459,PCT/FR98/01288,1998-06-19,NST
09453601,08383868,1995-02-06,REI
09446860,PCT/EP98/03864,1998-06-24,NST
09446606,PCT/US98/13163,1998-06-24,NST
09446656,PCT/SE98/01218,1998-06-23,NST
09462429,PCT/EP98/04306,1998-07-10,NST
09445868,PCT/FR98/00950,1998-05-13,NST
09446048,PCT/GB98/01800,1998-06-19,NST
09446137,PCT/EP98/03348,1998-06-04,NST
09462456,PCT/EP98/02522,1998-04-29,NST
09403675,PCT/US98/05655,1998-03-21,NST
09462474,PCT/US98/15062,1998-07-22,NST
09462541,PCT/GB98/01904,1998-07-10,NST
09445269,PCT/US97/09797,1997-06-05,NST
09424143,PCT/GB98/01081,1998-04-14,NST
09462620,PCT/US98/10042,1998-05-15,NST
09462570,PCT/RU99/00151,1999-05-05,NST
09424319,PCT/EP98/01956,1998-04-03,NST
09462835,PCT/DK98/00330,1998-07-14,NST
09403748,PCT/FR98/00856,1998-04-28,NST
09462827,PCT/IB99/01461,1999-06-15,NST
09462597,PCT/GB99/01251,1999-05-11,NST
09462814,PCT/CH98/00290,1998-07-03,NST
09463210,PCT/AU99/00048,1999-01-25,NST
09463236,PCT/EP98/04568,1998-07-21,NST
09463292,PCT/IB98/01172,1998-07-23,NST
09463293,PCT/IB98/01173,1998-07-23,NST
09463386,PCT/FR98/01644,1998-07-24,NST
09403577,PCT/EP99/04151,1999-06-15,NST
09403630,PCT/IB98/00657,1998-04-30,NST
09462476,PCT/US98/23640,1998-11-06,NST
09462476,60064742,1997-11-07,PRO
09403515,PCT/IB98/00610,1998-04-22,NST
09463802,PCT/KR00/00056,2000-01-26,NST
09403143,PCT/GB98/01104,1998-04-15,NST
09463667,PCT/FR98/01645,1998-07-24,NST
09463347,PCT/CA98/00679,1998-07-10,NST
09402887,PCT/AU98/00262,1998-04-14,NST
09463747,PCT/EP98/04588,1998-07-22,NST
09485173,PCT/JP98/03678,1998-08-19,NST
09485079,PCT/EP98/04828,1998-08-03,NST
09485501,PCT/US98/16664,1998-08-11,NST
09485635,PCT/GB98/01635,1998-06-19,NST
09485705,PCT/IB98/01464,1998-08-28,NST
09485840,PCT/EP98/05085,1998-08-11,NST
09402298,PCT/SE98/00639,1998-04-06,NST
09402829,PCT/IB98/00563,1998-04-13,NST
09485949,PCT/US99/13545,1999-06-16,NST
09486003,PCT/DE98/02414,1998-08-19,NST
09402037,PCT/US98/06012,1998-03-26,NST
09381036,PCT/EP98/01357,1998-03-09,NST
09381036,60040836,1997-03-19,PRO
09486119,PCT/EP98/04464,1998-07-17,NST
09381522,PCT/EP97/02110,1997-04-25,NST
09486479,PCT/GB96/02479,1996-10-10,NST
09381521,PCT/EP97/02109,1997-04-25,NST
09486034,PCT/NO98/00379,1998-12-14,NST
09486284,PCT/GB98/02286,1998-08-26,NST
09380241,PCT/GB98/00634,1998-03-02,NST
09486739,PCT/US98/22284,1998-10-21,NST
09486626,PCT/EP98/04987,1998-07-27,NST
09486738,PCT/EP98/05495,1998-08-24,NST
09486952,PCT/NL97/00505,1997-09-02,NST
09486297,PCT/NL98/00480,1998-08-26,NST
09486361,PCT/IL98/00396,1998-08-19,NST
09486735,PCT/EP98/05494,1998-08-24,NST
09508036,PCT/US98/17711,1998-08-27,NST
09486737,PCT/FR98/01874,1998-09-01,NST
09380082,PCT/EP98/01024,1998-02-23,NST
09367717,PCT/SE98/00313,1998-02-20,NST
09487968,09478012,2000-01-05,CIP
09291759,60081647,1998-04-14,PRO
09508590,PCT/GB98/02455,1998-08-17,NST
09508220,PCT/JP99/03726,1999-07-09,NST
09508444,PCT/US98/18337,1998-09-04,NST
09508475,PCT/GB99/02211,1999-07-09,NST
09508380,PCT/US98/18969,1998-09-10,NST
09508380,60058489,1997-09-10,PRO
09508184,PCT/US99/15103,1999-07-01,NST
09508184,60091890,1998-07-07,PRO
09341258,PCT/GB98/00216,1998-01-26,NST
09341210,PCT/IL98/00006,1998-01-06,NST
09508479,PCT/EP98/05486,1998-08-29,NST
09508650,PCT/GB98/02712,1998-09-14,NST
09508665,PCT/GB98/02860,1998-09-22,NST
09284322,PCT/US97/19074,1997-02-21,NST
09508811,PCT/GB98/02850,1998-09-21,NST
09508817,PCT/GB98/02836,1998-09-18,NST
09509176,PCT/US98/21559,1998-10-13,NST
09508949,PCT/US98/20204,1998-09-24,NST
09508949,60059889,1997-09-24,PRO
09297464,PCT/GB97/02947,1997-10-27,NST
09463807,PCT/US99/02183,1998-08-03,NST
09509107,PCT/DE98/02707,1998-09-14,NST
09509249,PCT/CA98/00910,1998-09-25,NST
09284332,PCT/US97/18248,1997-10-09,NST
09509240,PCT/AU98/00810,1998-09-24,NST
09254806,PCT/EP97/04000,1997-07-24,NST
09269069,PCT/CA97/00698,1997-09-19,NST
09509867,PCT/NL97/00550,1997-03-10,NST
09509931,PCT/EP98/06338,1998-10-05,NST
09509990,PCT/US98/20925,1998-10-08,NST
09529140,PCT/EP98/06239,1998-10-01,NST
09529230,PCT/CA97/00975,1997-12-18,NST
09509632,PCT/US98/00799,1998-01-14,NST
09529301,PCT/US98/21964,1998-10-16,NST
09510668,08772049,1996-12-19,REI
09510668,08539472,1995-10-05,CON
09529014,PCT/ES99/00257,1999-08-06,NST
09509904,PCT/US97/17836,1997-10-03,NST
09529517,PCT/US98/21874,1998-10-15,NST
09380137,PCT/US99/12252,1999-06-02,NST
09380137,60092182,1998-07-09,PRO
09509650,PCT/LV98/00003,1999-08-03,NST
09508920,PCT/US98/19420,1998-09-14,NST
09530028,PCT/DE98/03100,1998-10-22,NST
09530051,PCT/CH98/00450,1998-10-21,NST
09530048,PCT/CH98/00448,1998-10-21,NST
09530052,PCT/CH98/00449,1998-10-21,NST
09530463,PCT/EP98/06786,1998-10-26,NST
09509245,PCT/US00/08050,2000-03-23,NST
09530353,PCT/GB98/03262,1998-12-02,NST
09509054,PCT/IB98/01537,1998-09-24,NST
09508780,PCT/IB98/01476,1998-09-24,NST
09530528,PCT/US98/23125,1998-10-30,NST
09530659,PCT/US98/23410,1998-11-03,NST
09530230,PCT/FR98/02300,1998-10-27,NST
09554006,PCT/US98/21274,1998-10-06,NST
09554250,PCT/GB97/03148,1997-11-14,NST
09554001,PCT/CA98/01079,1998-11-20,NST
09537133,08990845,1997-12-15,REI
09537133,08659888,1996-06-06,CIP
09554348,PCT/DE98/03322,1998-11-11,NST
09530868,PCT/US99/11521,1999-05-25,NST
09554520,PCT/EP98/07369,1998-11-13,NST
09554521,PCT/EP98/07336,1998-11-13,NST
09508310,PCT/US98/19908,1998-09-23,NST
09508333,PCT/DE98/02669,1998-09-05,NST
09530113,PCT/US98/23194,1998-11-02,NST
09502760,09392179,1999-09-09,CIP
09508178,PCT/EP97/04825,1997-09-05,NST
09554358,PCT/GB98/03368,1998-11-12,NST
09554541,PCT/US97/20791,1997-11-13,NST
09554691,PCT/IB98/01823,1998-11-13,NST
09486778,PCT/IB98/01353,1998-08-28,NST
09554714,PCT/GB00/01672,2000-04-28,NST
09554749,PCT/GB98/03444,1998-11-16,NST
09485991,PCT/US98/16447,1998-08-12,NST
09554904,PCT/US98/24722,1998-11-19,NST
09555075,PCT/DE98/03446,1998-11-19,NST
09486331,PCT/GR99/00023,1999-06-29,NST
09554583,PCT/US98/27263,1998-12-22,NST
09555345,PCT/US98/26315,1998-12-09,NST
09555767,PCT/DE99/03233,1998-08-10,NST
09555328,PCT/EP98/07923,1998-12-07,NST
09555420,PCT/JP99/05432,1999-10-01,NST
09485536,PCT/FR98/01813,1998-08-14,NST
09485295,PCT/JP98/04039,1998-09-09,NST
09485001,PCT/FR98/01671,2000-01-31,NST
09485865,PCT/FR98/01267,1998-06-17,NST
09555770,PCT/US98/24494,1998-11-16,NST
09555784,PCT/US00/15313,2000-06-02,NST
09555784,60137531,1999-06-03,PRO
09485784,PCT/IL98/00368,1998-08-06,NST
09581112,PCT/US98/26071,1998-12-09,NST
