application_number,pto_delay_a,pto_delay_b,pto_delay_c,overlap_pto_delay,nonoverlap_pto_delay,pto_manual_adjustment,applicant_delay,patent_term_adjustment
08565871,0,0,0,0,0,0,0,0
08566406,0,0,0,0,0,0,237,0
08568595,0,0,0,0,0,0,115,0
08403797,0,0,0,0,0,0,169,0
08513865,0,0,0,0,0,0,269,0
08566533,0,0,0,0,9,0,28,0
08566728,0,0,0,0,0,0,99,0
08567077,19,0,0,0,19,0,113,0
08567536,0,0,0,0,0,0,101,0
08568209,0,0,0,0,201,0,90,111
08568441,0,0,0,0,0,0,291,0
08567882,0,0,0,0,0,0,75,0
08569380,0,0,0,0,0,0,60,0
08569797,0,0,0,0,0,0,0,0
08569886,0,0,0,0,0,0,63,0
08556978,0,0,0,0,0,0,0,0
08570367,0,0,0,0,0,0,213,0
08570904,0,0,0,0,0,0,97,0
08571050,68,0,0,0,68,0,449,0
08572255,0,0,0,0,0,0,103,0
08572027,552,95,0,0,647,0,1132,0
08572092,0,0,0,0,0,0,170,0
08572550,0,0,0,0,0,0,486,0
08572851,0,0,0,0,0,0,83,0
08573569,601,0,0,0,601,0,1193,0
08568402,0,0,0,0,0,0,51,0
08573080,0,0,0,0,0,0,50,0
08573145,61,0,0,0,61,0,356,0
08573341,0,0,0,0,17,0,6,11
08573458,0,0,0,0,0,0,147,0
08573519,778,0,0,0,778,0,188,590
08574925,46,0,0,0,46,0,174,0
08575304,483,0,0,0,483,0,610,0
08575517,0,0,0,0,0,0,103,0
08577413,0,0,0,0,0,0,0,0
08578502,0,0,0,0,0,0,34,0
08624306,0,0,0,0,46,0,120,0
08579156,0,0,0,0,0,0,0,0
08578996,142,0,0,0,142,0,181,0
08579364,0,0,0,0,0,0,107,0
08579415,0,0,0,0,60,0,254,0
08579907,0,0,0,0,0,0,117,0
08581640,0,0,0,0,0,0,146,0
08580532,0,0,0,0,0,0,168,0
08580493,19,0,0,0,19,0,121,0
08581253,0,0,0,0,0,0,139,0
08581333,35,0,0,0,35,0,309,0
08578684,0,0,0,0,26,0,147,0
08581019,0,0,0,0,59,0,5,54
08581016,0,0,0,0,0,0,120,0
08582235,0,0,0,0,0,0,0,0
08582586,0,0,0,0,0,0,208,0
08582936,0,0,0,0,0,0,0,0
