application_number,event_code,recorded_date
04303280,SETS,2001-09-20
04303280,SRCH,1983-03-17
04303280,LOST,1983-03-17
04310186,SETS,2001-09-20
04274350,SETS,2001-09-20
04327806,SETS,2001-09-20
04336975,SETS,2001-09-20
04336975,SRCH,1987-07-29
04274302,SETS,2001-09-20
04313187,SETS,2001-09-20
04343932,SETS,2001-09-20
04343932,TMOS,1988-06-06
04343932,SRCH,1988-05-12
04343932,LOST,1988-05-03
04343932,TMOS,1987-11-10
04343932,SRCH,1987-08-25
04343932,LOST,1987-08-25
04343932,TMOS,1987-06-03
04343932,SRCH,1987-04-20
04343932,LOST,1987-04-20
04337823,LFLOST,2006-08-18
04337823,SETS,2001-09-20
04337823,TMOS,1995-01-17
04337823,SRCH,1994-12-29
04337823,SRCH,1994-12-15
04337823,LOST,1994-12-08
04337823,SRCH,1992-08-13
04337823,LOST,1992-08-05
04337823,SRCH,1992-03-19
04337823,LOST,1992-03-12
04337823,FOND,1991-10-10
04337823,LOST,1991-10-10
04337823,TMOS,1990-07-02
04337823,SRCH,1990-07-02
04337823,LOST,1990-07-02
04337823,TMOS,1990-06-20
04337823,SRCH,1990-06-05
04337823,LOST,1990-05-22
04337823,SRCH,1985-05-09
04337823,LOST,1985-05-09
04352282,SETS,2001-09-20
04361501,SETS,2001-09-20
04354393,SETS,2001-09-20
04250505,SETS,2001-09-20
04366038,SETS,2001-09-20
04371879,SETS,2001-09-20
04371879,SRCH,1986-04-22
04371879,LOST,1986-03-04
04350164,SETS,2001-09-20
04374151,SETS,2001-09-20
04369695,SETS,2001-09-20
04385651,SETS,2001-09-20
04377382,SETS,2001-09-20
04377382,SRCH,1987-07-31
04377382,LOST,1987-07-31
04377382,SRCH,1984-12-10
04377382,LOST,1984-12-10
04377382,SRCH,1984-11-19
04377382,LOST,1984-11-19
04390666,SETS,2001-09-20
04399088,SETS,2001-09-20
04236384,SETS,2001-09-20
04236384,TMOS,1987-07-15
04236384,SRCH,1987-06-18
04236384,LOST,1987-06-18
04408159,SETS,2001-09-20
04369143,SETS,2001-09-20
04399640,SETS,2001-09-20
04399640,N084,1979-11-30
04399640,MN/=.,1979-11-19
04399640,N/=.,1979-11-19
04414973,LFFOUND,2009-09-01
04414973,SETS,2001-09-20
04378469,SETS,2001-09-20
04424065,SETS,2001-09-20
04424065,SRCH,1983-03-15
04424065,LOST,1983-03-15
04347999,SETS,2001-09-20
04347999,FOND,1993-11-17
04347999,TMOS,1993-04-19
04347999,SRCH,1993-03-23
04347999,LOST,1993-03-11
04347999,TMOS,1992-12-21
04347999,SRCH,1992-11-20
04347999,LOST,1992-10-22
04347999,FOND,1992-06-22
04347999,SRCH,1992-06-05
04347999,LOST,1992-05-21
04347999,FOND,1992-04-30
04347999,LOST,1991-10-22
04347999,SRCH,1991-06-06
04347999,LOST,1991-06-04
04347999,TMOS,1991-03-01
04347999,SRCH,1991-02-08
04347999,LOST,1991-02-05
04347999,SRCH,1989-05-10
04347999,LOST,1989-05-01
04347999,LOST,1989-04-26
04347999,SRCH,1989-02-21
04347999,LOST,1989-02-08
04347999,SRCH,1988-07-22
04347999,LOST,1988-07-08
04347999,TMOS,1988-04-11
04347999,SRCH,1988-04-11
04347999,LOST,1988-03-14
04347999,TMOS,1988-01-05
04347999,SRCH,1987-12-04
04347999,SRCH,1987-11-18
04347999,LOST,1987-11-18
04347999,LOST,1987-11-17
04347999,TMOS,1987-11-05
04347999,SRCH,1987-11-05
04347999,LOST,1987-11-04
04347999,SRCH,1987-07-20
04347999,LOST,1987-07-20
04347999,TMOS,1987-02-17
04347999,SRCH,1987-01-08
04347999,LOST,1987-01-08
04347999,LOST,1987-01-06
04347999,TMOS,1986-12-19
04347999,SRCH,1986-11-07
04347999,LOST,1986-11-04
04347999,LOST,1986-05-28
04347999,LOST,1986-01-03
04347999,SRCH,1986-01-03
04421817,SETS,2001-09-20
04421817,SRCH,1990-07-11
04421817,LOST,1990-07-05
04435690,SETS,2001-09-20
04397688,SETS,2001-09-20
04426918,SETS,2001-09-20
04448732,SETS,2001-09-20
04453700,SETS,2001-09-20
04439549,SETS,2001-09-20
04439549,FOND,1991-07-25
04439549,SRCH,1991-06-28
04439549,LOST,1991-06-26
04463097,SETS,2001-09-20
04464645,SETS,2001-09-20
04453098,SETS,2001-09-20
04453098,DOCK,1986-04-09
04453098,DOCK,1985-08-30
04421860,SETS,2001-09-20
04421860,TMOS,1994-11-17
04421860,SRCH,1994-10-17
04421860,LOST,1994-10-14
04421860,TMOS,1994-01-13
04421860,SRCH,1993-12-15
04421860,LOST,1993-12-01
04421860,LOST,1992-07-30
04421860,TMOS,1992-03-24
04421860,SRCH,1992-02-26
04421860,LOST,1992-02-21
04421860,SRCH,1991-12-02
04421860,LOST,1991-11-18
04421860,TMOS,1991-08-22
04421860,SRCH,1991-07-26
04421860,TMOS,1991-07-25
04421860,SRCH,1991-06-28
04421860,LOST,1991-06-12
04421860,TMOS,1990-11-05
04421860,SRCH,1990-10-01
04421860,LOST,1990-09-26
04468908,SETS,2001-09-20
04468203,SETS,2001-09-20
04468532,SETS,2001-09-20
04468532,FOND,1994-06-28
04468532,SRCH,1994-06-28
04468532,SRCH,1994-06-16
04468532,LOST,1994-06-07
04482257,SETS,2001-09-20
04477467,TMOS,2001-11-06
04477467,SRCH,2001-10-10
04477467,TMOS,2001-08-23
04477467,SRCH,2001-07-30
04477467,TMOS,2001-07-10
04477467,SRCH,2001-06-05
04477467,TMOS,2001-02-21
04477467,SRCH,2001-01-23
04477467,TMOS,2001-01-19
04477467,SRCH,2000-12-20
04477467,LFLOST,2000-12-20
04481021,LFLOST,2002-06-19
04481021,TMOS,2001-02-15
04481021,FOND,2001-02-15
04481021,SRCH,2001-01-23
04481021,TMOS,2000-11-22
04481021,SRCH,2000-10-12
04481021,LOST,2000-10-12
04478913,SETS,2001-09-20
04470622,SETS,2001-09-20
04482704,SETS,2001-09-20
04228300,SETS,2001-09-20
04228300,TMOS,1990-03-20
04228300,SRCH,1990-02-20
04228300,LOST,1990-02-12
04228300,TMOS,1989-07-10
04228300,SRCH,1989-06-12
04228300,LOST,1989-06-12
04228300,TMOS,1989-05-31
04228300,SRCH,1989-05-31
04228300,LOST,1989-05-18
04228300,TMOS,1986-06-04
04228300,LOST,1986-04-24
04228300,LOST,1985-11-07
04228300,SRCH,1985-07-11
04228300,LOST,1985-07-11
04490423,SETS,2001-09-20
04142748,SETS,2001-09-20
04142748,FOND,1991-08-06
04142748,TMOS,1991-07-25
04142748,SRCH,1991-06-28
04142748,SRCH,1991-06-28
04142748,LOST,1991-06-06
04142748,LOST,1990-02-14
04142748,SRCH,1988-12-13
04142748,LOST,1988-12-13
04142748,TMOS,1988-08-10
04142748,SRCH,1988-07-22
04142748,SRCH,1988-07-12
04142748,TMOS,1987-07-15
04142748,SRCH,1987-06-18
04142748,LOST,1987-06-18
04142748,LOST,1986-10-30
04142748,SRCH,1986-10-27
04142748,LOST,1986-10-24
04142748,LOST,1986-05-28
04142748,TMOS,1986-05-01
04142748,SRCH,1986-05-01
04142748,LOST,1986-04-25
04142748,LOST,1986-04-23
04142748,TMOS,1986-04-23
04142748,SRCH,1986-04-21
04142748,LOST,1986-04-21
04142748,LOST,1986-04-17
04142748,LOST,1986-04-14
04142748,LOST,1986-04-10
04142748,SRCH,1983-09-02
04142748,LOST,1983-09-02
04488329,SETS,2001-09-20
04494228,SETS,2001-09-20
04491718,SETS,2001-09-20
04490629,SETS,2001-09-20
04495847,SETS,2001-09-20
04200052,SETS,2001-09-20
04196039,SETS,2001-09-20
04153542,SETS,2001-09-20
04491805,SETS,2001-09-20
04502929,SETS,2001-09-21
04169355,SETS,2001-09-20
04515479,SETS,2001-09-21
04515479,SRCH,1985-04-05
04515479,LOST,1985-04-05
04501695,LFLOST,2003-08-12
04501695,LFFOUND,2002-10-30
04501695,LFLOST,2002-09-26
04501695,FOND,2001-10-26
04501695,TMOS,2001-10-26
04501695,SETS,2001-09-21
04501695,TMOS,2001-05-10
04501695,SRCH,2000-12-20
04501695,LOST,2000-12-20
04509108,SETS,2001-09-21
04516280,LFLOST,2006-09-11
04516280,SETS,2001-09-21
04501571,SETS,2001-09-21
04522366,SETS,2001-09-21
04525587,SETS,2001-09-21
04526225,LFLOST,2008-10-02
04526225,LFFOUND,2008-10-02
04526225,SETS,2001-09-21
04528519,SETS,2001-09-21
04535215,SETS,2001-09-21
04519814,SETS,2001-09-21
04510114,SETS,2001-09-21
04499416,SETS,2001-09-21
04519292,SETS,2001-09-21
04510433,SETS,2001-09-21
04484747,SETS,2001-09-20
04497530,SETS,2001-09-20
04494384,SETS,2001-09-20
04536326,SETS,2001-09-21
04544275,TMOS,2000-08-17
04544275,SRCH,2000-07-19
04544275,LFLOST,2000-07-19
04541549,SETS,2001-09-21
04542061,SETS,2001-09-21
04544040,SETS,2001-09-21
04544040,DOCK,1983-09-26
04533340,SETS,2001-09-21
04549373,SETS,2001-09-21
04547114,SETS,2001-09-21
04485624,SETS,2001-09-20
04553075,SETS,2001-09-21
04485736,SETS,2001-09-20
04552342,LFFOUND,2008-01-28
04552342,LFLOST,2004-03-17
04552342,SETS,2001-09-21
04422875,SETS,2001-09-20
04422875,FOND,2001-09-18
04422875,TMOS,2001-09-18
04422875,LOST,2001-08-28
04422875,SRCH,2001-08-28
04422875,TMOS,2001-03-06
04422875,FOND,2001-03-06
04422875,TMOS,2001-02-28
